recruiter,recruit,degree,testatus,blk
1296,22,4,i,0
910,25,5,i,0
466,26,1,s,1
1086,33,2,i,1
1239,43,5,s,0
1195,44,9,i,0
824,56,2,i,0
1182,70,4,i,0
1467,76,2,i,1
1395,88,2,i,0
1480,100,3,i,1
25,117,2,i,1
956,125,2,s,0
776,128,7,i,0
473,135,4,i,0
951,150,5,i,0
128,154,2,i,0
348,166,6,i,0
1592,172,5,i,0
1224,190,4,s,0
1349,202,2,s,0
954,207,5,i,0
43,246,2,s,1
718,249,1,s,1
334,262,1,i,0
1000,277,4,i,1
1195,281,3,i,0
593,288,4,i,0
881,295,1,i,0
506,300,6,i,0
166,324,2,s,0
1852,332,3,i,1
1079,334,2,i,1
578,348,2,s,0
288,349,4,i,0
300,353,3,i,1
871,358,3,s,0
529,363,7,i,0
22,392,3,i,0
685,405,2,s,1
,432,2,s,1
776,466,3,i,0
721,473,4,i,0
1164,476,5,i,0
1796,483,2,s,0
1063,487,4,s,0
1760,496,7,s,0
324,506,3,i,0
1789,527,3,i,0
1789,529,3,i,0
1248,552,3,s,0
1201,578,3,s,0
150,585,3,i,0
956,588,1,s,1
70,593,4,i,0
1023,623,4,i,0
349,636,4,s,0
623,648,5,i,0
1699,657,1,s,1
1408,677,3,i,0
849,685,3,s,0
739,687,4,i,0
1224,704,1,s,0
552,707,1,s,1
1086,718,2,s,1
,721,3,s,1
44,725,6,i,0
125,731,6,i,0
135,738,6,i,0
43,739,4,i,0
1789,741,3,i,0
150,749,5,i,0
648,750,4,s,1
687,766,1,s,0
1467,776,3,i,0
288,818,1,i,1
1850,824,3,s,0
1249,849,5,s,0
1482,856,4,i,1
363,864,5,i,0
648,871,3,i,0
741,881,3,i,1
725,885,2,i,1
1720,910,4,i,0
1498,951,9,i,0
128,954,5,i,0
405,956,5,s,0
1160,979,4,i,0
172,992,2,i,0
1333,1000,6,i,0
1852,1004,2,s,1
277,1007,1,i,1
1120,1023,5,i,0
1137,1037,2,i,0
1393,1040,1,i,0
956,1063,4,s,0
1170,1079,2,i,0
1249,1082,2,s,0
1389,1085,2,i,0
1592,1086,6,i,0
1486,1120,4,i,1
1263,1137,5,s,0
473,1143,1,s,0
954,1160,4,i,0
992,1163,1,s,1
1170,1164,2,s,0
1606,1166,3,s,1
487,1170,3,s,0
1408,1182,7,i,0
1137,1195,3,s,0
738,1201,3,i,1
1720,1207,6,s,0
1160,1218,2,i,0
496,1224,4,s,0
70,1228,3,i,0
1451,1239,4,i,1
1085,1240,4,i,0
1082,1248,3,s,0
1589,1249,4,s,0
1342,1263,2,s,0
1000,1273,3,s,0
1545,1296,2,i,1
731,1301,1,i,1
1201,1306,4,i,0
135,1319,4,i,0
749,1333,2,i,0
190,1342,3,s,0
1137,1349,3,i,1
824,1357,4,s,0
172,1360,4,i,1
25,1387,4,i,0
288,1389,4,i,0
1160,1393,5,i,0
44,1395,2,i,0
1844,1397,3,i,0
277,1408,3,i,1
1547,1438,1,s,1
154,1451,2,i,1
856,1453,2,s,0
358,1467,3,i,1
432,1477,2,s,0
527,1480,4,i,0
22,1481,4,i,0
,1482,2,i,1
1578,1486,5,i,0
1319,1495,5,i,0
623,1498,4,i,0
1850,1521,1,s,1
593,1535,6,i,0
25,1545,6,i,0
677,1547,6,i,0
202,1551,1,s,1
1349,1571,2,i,1
332,1578,3,i,0
1239,1589,3,s,0
1397,1592,4,i,0
739,1606,3,s,1
739,1627,2,s,1
871,1632,2,s,1
749,1654,2,i,0
1063,1658,1,s,0
623,1662,6,i,0
1273,1699,3,s,0
1545,1712,1,i,0
1852,1720,4,i,0
1589,1759,1,s,0
432,1760,3,s,0
1218,1788,3,i,1
910,1789,5,i,0
76,1796,5,s,0
951,1799,2,s,1
,1844,3,i,0
1273,1850,3,s,1
1306,1852,5,i,0
648,1861,2,i,0
,1915,0,0,1
,1955,0,0,1
